training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
2.2572865,-2.2572865,0.41940975,1.0,0.11181135,-0.10739614,2.2213118,2.258797,-2.258797,0.42091984,1.0,0.027575203943252562,137.87603378295898,5000
2.2236004,-2.2236004,0.3857233,1.0,0.066182934,-0.052025534,1.4478594,2.229908,-2.229908,0.3920308,1.0,0.0007821807861328125,141.78694224357605,10000
2.2459397,-2.2459397,0.40806288,1.0,0.0998382,-0.086376965,2.040395,2.2231867,-2.2231867,0.38530964,1.0,0.0007804480075836182,145.6891872882843,15000
2.2418826,-2.2418826,0.40400547,1.0,0.13829291,-0.10738394,2.050272,2.231017,-2.231017,0.3931402,1.0,0.0007793062210083008,149.5857229232788,20000
2.200401,-2.200401,0.36252394,1.0,0.06831435,-0.16667436,1.9329742,2.2283378,-2.2283378,0.3904608,1.0,0.0007786190032958984,153.47882270812988,25000
2.2192104,-2.2192104,0.38133326,1.0,0.08280675,-0.11289975,1.7994856,2.2277317,-2.2277317,0.38985452,1.0,0.0007824862957000732,157.3912591934204,30000
2.2096128,-2.2096128,0.37173563,1.0,0.19247185,-0.08435255,2.2715344,2.2516003,-2.2516003,0.41372317,1.0,0.0007783883094787598,161.2832055091858,35000
2.2242608,-2.2242608,0.3863837,1.0,0.11030043,-0.080572896,2.0512204,2.2112646,-2.2112646,0.37338758,1.0,0.0007789707660675049,165.1780641078949,40000
2.2256746,-2.2256746,0.38779765,1.0,0.15084782,-0.1426078,2.6596298,2.214292,-2.214292,0.37641484,1.0,0.0007800936698913574,169.0785369873047,45000
2.199847,-2.199847,0.36196995,1.0,0.09866089,-0.139336,2.1499403,2.1998305,-2.1998305,0.36195362,1.0,0.0007796714782714844,172.9768989086151,50000
2.2229638,-2.2229638,0.38508677,1.0,0.15891175,-0.1230677,2.5982585,2.1981723,-2.1981723,0.3602953,1.0,0.0007825572967529297,176.88969016075134,55000
2.1884627,-2.1884627,0.35058576,1.0,0.1635851,-0.1313377,2.0336683,2.2022462,-2.2022462,0.36436898,1.0,0.0007858062744140625,180.8187267780304,60000
2.213894,-2.213894,0.37601703,1.0,0.14919609,-0.12962767,2.8314452,2.234712,-2.234712,0.39683485,1.0,0.0007790898323059082,184.71418070793152,65000
2.219418,-2.219418,0.3815412,1.0,0.10379278,-0.18143004,2.2770796,2.2267036,-2.2267036,0.38882664,1.0,0.0007777427673339843,188.60289907455444,70000
2.207314,-2.207314,0.36943704,1.0,0.15644464,-0.19256255,2.1809816,2.227015,-2.227015,0.38913807,1.0,0.0007798778533935547,192.5022931098938,75000
2.2190096,-2.2190096,0.3811326,1.0,0.16599116,-0.08972616,2.077824,2.2084658,-2.2084658,0.3705888,1.0,0.0007794073104858398,196.39933395385742,80000
2.1894128,-2.1894128,0.35153583,1.0,0.11496091,-0.08625001,1.6345512,2.211197,-2.211197,0.37331972,1.0,0.0007805912017822265,200.3022952079773,85000
2.2175722,-2.2175722,0.37969503,1.0,0.12145181,-0.124381974,2.279067,2.218791,-2.218791,0.38091394,1.0,0.0007849573135375977,204.2270863056183,90000
2.2066712,-2.2066712,0.36879432,1.0,0.11366785,-0.08932089,1.5352709,2.2014208,-2.2014208,0.3635437,1.0,0.0007799408912658692,208.12679529190063,95000
2.1882024,-2.1882024,0.35032517,1.0,0.09274252,-0.06196982,1.499655,2.1963313,-2.1963313,0.35845423,1.0,0.0007796085834503174,212.0248429775238,100000
2.1839063,-2.1839063,0.3460292,1.0,0.15336987,-0.15145361,2.3016756,2.212943,-2.212943,0.37506616,1.0,0.025115659189224242,337.603143453598,105000
2.205093,-2.205093,0.3672159,1.0,0.14673018,-0.1414233,1.5627184,2.2122607,-2.2122607,0.37438387,1.0,0.0008020774841308594,341.6135356426239,110000
2.2248578,-2.2248578,0.38698053,1.0,0.13900843,-0.11635185,2.63207,2.2056165,-2.2056165,0.3677395,1.0,0.000799122428894043,345.6091525554657,115000
2.2041473,-2.2041473,0.36627036,1.0,0.1834274,-0.16681415,3.6439362,2.2073169,-2.2073169,0.36943975,1.0,0.0007974082469940185,349.59619879722595,120000
2.1881392,-2.1881392,0.35026222,1.0,0.0918056,-0.10944038,1.6701537,2.2035213,-2.2035213,0.36564416,1.0,0.0008017496109008789,353.60495114326477,125000
2.2010016,-2.2010016,0.36312455,1.0,0.13922963,-0.20445748,2.1658623,2.2162929,-2.2162929,0.37841558,1.0,0.000804608154296875,357.6279966831207,130000
2.1892505,-2.1892505,0.3513736,1.0,0.180524,-0.13705811,3.1267393,2.2084007,-2.2084007,0.37052384,1.0,0.0008012217044830322,361.6341097354889,135000
2.1988935,-2.1988935,0.36101663,1.0,0.10742979,-0.102446795,2.161861,2.209756,-2.209756,0.3718788,1.0,0.0007982506275177002,365.6253674030304,140000
2.196251,-2.196251,0.35837376,1.0,0.19921306,-0.10472168,2.4769375,2.2102113,-2.2102113,0.37233436,1.0,0.0007937410354614258,369.5940775871277,145000
2.1848269,-2.1848269,0.34694988,1.0,0.11207208,-0.1107931,1.7510278,2.228405,-2.228405,0.39052802,1.0,0.0007987360000610351,373.587762594223,150000
2.1909504,-2.1909504,0.35307318,1.0,0.16220349,-0.2050082,3.4891691,2.2003932,-2.2003932,0.362516,1.0,0.0008018871784210205,377.5972030162811,155000
2.1934094,-2.1934094,0.35553238,1.0,0.2112121,-0.12570754,2.2108927,2.2018485,-2.2018485,0.36397153,1.0,0.0008015792369842529,381.605103969574,160000
2.2012582,-2.2012582,0.36338124,1.0,0.11982981,-0.10291825,1.8188202,2.2170653,-2.2170653,0.37918824,1.0,0.0008034701347351074,385.6224594116211,165000
2.1860466,-2.1860466,0.34816933,1.0,0.18353938,-0.10938937,2.3882356,2.2110167,-2.2110167,0.37313983,1.0,0.000798729419708252,389.6161115169525,170000
2.2056146,-2.2056146,0.36773747,1.0,0.10620342,-0.18057424,3.0884192,2.214438,-2.214438,0.37656093,1.0,0.0007947306632995606,393.5897696018219,175000
2.204428,-2.204428,0.36655074,1.0,0.12988523,-0.15285522,2.3605473,2.200087,-2.200087,0.3622098,1.0,0.0007946108818054199,397.5628287792206,180000
2.196276,-2.196276,0.35839894,1.0,0.16071044,-0.14898524,2.8399649,2.2236214,-2.2236214,0.3857444,1.0,0.0007972177028656006,401.548921585083,185000
2.186499,-2.186499,0.34862226,1.0,0.100656904,-0.19147074,1.7714264,2.19795,-2.19795,0.36007276,1.0,0.000795419454574585,405.52602314949036,190000
2.190783,-2.190783,0.35290593,1.0,0.13040085,-0.15337503,1.8337307,2.2057498,-2.2057498,0.36787283,1.0,0.0008018243312835693,409.5351495742798,195000
2.2017503,-2.2017503,0.36387324,1.0,0.2086339,-0.10469849,2.1379943,2.202269,-2.202269,0.3643921,1.0,0.0008021857261657715,413.5460832118988,200000
2.1877792,-2.1877792,0.34990212,1.0,0.11568758,-0.12540418,1.4575089,2.2125373,-2.2125373,0.37466007,1.0,0.024746207427978516,537.2771253585815,205000
2.2015386,-2.2015386,0.36366162,1.0,0.13247544,-0.123595804,2.065841,2.1769102,-2.1769102,0.33903313,1.0,0.000797281265258789,541.2635359764099,210000
2.186383,-2.186383,0.34850585,1.0,0.10860765,-0.12345793,1.955386,2.203486,-2.203486,0.36560887,1.0,0.0007974888801574707,545.2509849071503,215000
2.1886168,-2.1886168,0.35073978,1.0,0.08399416,-0.1894278,2.0738633,2.199474,-2.199474,0.36159712,1.0,0.0007991228103637696,549.2466042041779,220000
2.1974225,-2.1974225,0.35954553,1.0,0.0867019,-0.14640577,1.95815,2.2148209,-2.2148209,0.37694365,1.0,0.0008044936180114747,553.2690768241882,225000
2.192356,-2.192356,0.35447899,1.0,0.13158356,-0.14624652,1.8387481,2.2110476,-2.2110476,0.3731708,1.0,0.0008010243415832519,557.2742033004761,230000
2.2003613,-2.2003613,0.36248416,1.0,0.17212817,-0.19910496,3.3089843,2.20236,-2.20236,0.36448297,1.0,0.0008012692928314209,561.2805542945862,235000
2.192403,-2.192403,0.35452583,1.0,0.26872253,-0.18276355,3.2499313,2.1948853,-2.1948853,0.35700816,1.0,0.0008000807762145996,565.2809634208679,240000
2.1909974,-2.1909974,0.35312024,1.0,0.11505769,-0.15428302,2.0709305,2.2130218,-2.2130218,0.37514484,1.0,0.0007996918678283691,569.2794272899628,245000
2.2094455,-2.2094455,0.37156862,1.0,0.100795895,-0.17947046,2.1235163,2.199843,-2.199843,0.36196572,1.0,0.000799701452255249,573.277939081192,250000
2.1928532,-2.1928532,0.3549761,1.0,0.33315316,-0.11550135,2.3363922,2.2050214,-2.2050214,0.36714408,1.0,0.0008046626567840576,577.3012573719025,255000
2.2024555,-2.2024555,0.36457846,1.0,0.14782542,-0.14052843,1.7831199,2.2086198,-2.2086198,0.37074283,1.0,0.0007990441799163819,581.2964828014374,260000
2.177444,-2.177444,0.33956686,1.0,0.09691521,-0.12795393,1.6469411,2.2069097,-2.2069097,0.36903274,1.0,0.0008010143756866455,585.3015596866608,265000
2.1830082,-2.1830082,0.34513122,1.0,0.10003102,-0.14536993,1.790861,2.19666,-2.19666,0.35878313,1.0,0.0008016525268554688,589.3098270893097,270000
2.198945,-2.198945,0.36106795,1.0,0.18850763,-0.24446146,2.692882,2.2200017,-2.2200017,0.3821246,1.0,0.0008035202980041504,593.327433347702,275000
2.2025347,-2.2025347,0.36465758,1.0,0.16501299,-0.12597673,2.5216136,2.2043064,-2.2043064,0.3664293,1.0,0.0007982988357543945,597.3189318180084,280000
2.1851845,-2.1851845,0.34730738,1.0,0.110159725,-0.11062516,1.7471406,2.1903849,-2.1903849,0.35250792,1.0,0.0008047847270965577,601.3428604602814,285000
2.1903949,-2.1903949,0.35251775,1.0,0.18590888,-0.13246714,1.960971,2.1970463,-2.1970463,0.35916913,1.0,0.0008013847351074219,605.3497886657715,290000
2.1977663,-2.1977663,0.3598892,1.0,0.13754931,-0.1876405,2.5709767,2.2087598,-2.2087598,0.37088278,1.0,0.0007996223926544189,609.3479056358337,295000
2.1994224,-2.1994224,0.36154544,1.0,0.11591343,-0.07210519,1.5693784,2.2135186,-2.2135186,0.37564164,1.0,0.0007973629474639892,613.3347253799438,300000
2.1868186,-2.1868186,0.34894156,1.0,0.23750986,-0.15860039,1.6223774,2.2013545,-2.2013545,0.3634776,1.0,0.02496913719177246,738.1804158687592,305000
2.2063603,-2.2063603,0.3684832,1.0,0.12580863,-0.1520281,1.907988,2.181457,-2.181457,0.34357992,1.0,0.0007977660179138183,742.1692509651184,310000
2.1728582,-2.1728582,0.33498132,1.0,0.15044671,-0.09080127,2.025034,2.1846323,-2.1846323,0.34675524,1.0,0.0007964210987091065,746.151360988617,315000
2.1857724,-2.1857724,0.34789544,1.0,0.109032094,-0.16904667,2.8165398,2.2038717,-2.2038717,0.36599457,1.0,0.0007955607414245606,750.1291694641113,320000
2.2008934,-2.2008934,0.3630166,1.0,0.16108218,-0.11319144,2.4782882,2.2144487,-2.2144487,0.37657157,1.0,0.0007973058223724365,754.1157033443451,325000
2.1902435,-2.1902435,0.35236642,1.0,0.1562671,-0.19108817,2.767138,2.1962233,-2.1962233,0.35834622,1.0,0.0007987661361694336,758.1095387935638,330000
2.1947436,-2.1947436,0.35686657,1.0,0.06984407,-0.1350143,1.5772879,2.1937437,-2.1937437,0.35586667,1.0,0.0007957419395446777,762.0882532596588,335000
2.1911397,-2.1911397,0.3532626,1.0,0.13965333,-0.11697017,2.098222,2.1992376,-2.1992376,0.3613605,1.0,0.0007976225852966308,766.0763711929321,340000
2.1777272,-2.1777272,0.3398501,1.0,0.07741624,-0.10181529,1.5375063,2.1995468,-2.1995468,0.36166978,1.0,0.0007971225261688233,770.0619885921478,345000
2.1945806,-2.1945806,0.3567034,1.0,0.11829077,-0.0909997,1.5780584,2.2032561,-2.2032561,0.365379,1.0,0.0007938209056854248,774.031097650528,350000
2.1783028,-2.1783028,0.3404256,1.0,0.14357054,-0.19073045,2.022839,2.2037332,-2.2037332,0.3658561,1.0,0.0008000535011291504,778.0313699245453,355000
2.1913538,-2.1913538,0.3534766,1.0,0.0859739,-0.11092636,1.557362,2.2110105,-2.2110105,0.37313336,1.0,0.0007987705707550049,782.0252277851105,360000
2.205503,-2.205503,0.36762598,1.0,0.11447956,-0.16166082,1.4974233,2.2124283,-2.2124283,0.37455136,1.0,0.0008020614147186279,786.0355396270752,365000
2.2082238,-2.2082238,0.37034675,1.0,0.14208458,-0.16855504,2.4473403,2.2098851,-2.2098851,0.3720079,1.0,0.0007962667942047119,790.0168783664703,370000
2.1766896,-2.1766896,0.33881253,1.0,0.078591116,-0.088353,1.294555,2.1990042,-2.1990042,0.3611271,1.0,0.0007993825912475586,794.0137958526611,375000
2.1860714,-2.1860714,0.3481944,1.0,0.22641262,-0.24645521,3.3924952,2.2053695,-2.2053695,0.36749262,1.0,0.0007949259281158447,797.9884300231934,380000
2.190054,-2.190054,0.35217696,1.0,0.12665322,-0.11518914,1.9186591,2.1984558,-2.1984558,0.36057884,1.0,0.0008021409988403321,801.9991402626038,385000
2.1907763,-2.1907763,0.3528993,1.0,0.10557401,-0.10045519,1.4662852,2.1740975,-2.1740975,0.3362206,1.0,0.0008011574268341064,806.0049324035645,390000
2.1891189,-2.1891189,0.3512417,1.0,0.06983195,-0.14324386,1.3572657,2.1924467,-2.1924467,0.3545699,1.0,0.0007980667114257813,809.9952721595764,395000
2.1752574,-2.1752574,0.33738044,1.0,0.113496855,-0.07509434,1.5077765,2.2164352,-2.2164352,0.378558,1.0,0.0007954820156097412,813.9726872444153,400000
2.1991615,-2.1991615,0.36128443,1.0,0.09035324,-0.15312016,1.6837072,2.2131472,-2.2131472,0.37526998,1.0,0.022743052101135253,927.6879527568817,405000
2.1994886,-2.1994886,0.36161178,1.0,0.15574007,-0.09760089,1.7251496,2.2038035,-2.2038035,0.36592638,1.0,0.000798906660079956,931.6824908256531,410000
2.1894183,-2.1894183,0.35154116,1.0,0.13432963,-0.13775477,2.0994349,2.1853294,-2.1853294,0.34745258,1.0,0.0007952113151550293,935.6585524082184,415000
2.1970441,-2.1970441,0.35916713,1.0,0.09914461,-0.10322752,1.6661853,2.1943555,-2.1943555,0.35647842,1.0,0.0007967165470123291,939.642139673233,420000
2.1799111,-2.1799111,0.3420343,1.0,0.115671,-0.13465467,1.5737488,2.1743495,-2.1743495,0.3364727,1.0,0.0007934316158294678,943.6093022823334,425000
2.1694956,-2.1694956,0.3316185,1.0,0.10072401,-0.105800286,1.6559575,2.1875982,-2.1875982,0.34972122,1.0,0.0007936729431152344,947.5776717662811,430000
2.1777158,-2.1777158,0.33983868,1.0,0.12800148,-0.0890714,2.0591605,2.1960754,-2.1960754,0.35819846,1.0,0.0007941959857940674,951.548656463623,435000
2.1688504,-2.1688504,0.33097345,1.0,0.14126283,-0.2021251,2.5333664,2.2066886,-2.2066886,0.36881146,1.0,0.000805332612991333,955.5753245353699,440000
2.175099,-2.175099,0.33722186,1.0,0.13971409,-0.13128248,1.7450168,2.2135434,-2.2135434,0.37566656,1.0,0.0007962707996368409,959.5566833019257,445000
2.2014554,-2.2014554,0.36357835,1.0,0.14826462,-0.10169907,1.6292907,2.2052393,-2.2052393,0.36736208,1.0,0.0007948545932769776,963.5309610366821,450000
2.2077866,-2.2077866,0.3699094,1.0,0.34081876,-0.1562193,4.6948023,2.2078443,-2.2078443,0.36996722,1.0,0.0007948969841003418,967.5054507255554,455000
2.2087026,-2.2087026,0.37082565,1.0,0.11000115,-0.09823616,1.5543034,2.2029338,-2.2029338,0.36505666,1.0,0.0007939071655273437,971.4749913215637,460000
2.1709626,-2.1709626,0.33308554,1.0,0.13088313,-0.109777674,2.217229,2.206833,-2.206833,0.36895585,1.0,0.0007957911968231201,975.4539518356323,465000
2.2016778,-2.2016778,0.36380076,1.0,0.13343969,-0.1716748,2.138773,2.205579,-2.205579,0.3677019,1.0,0.0008005177021026611,979.4565451145172,470000
2.1965628,-2.1965628,0.35868567,1.0,0.22309403,-0.10162725,2.9507978,2.1975224,-2.1975224,0.35964534,1.0,0.0007939854145050048,983.4264769554138,475000
2.1987252,-2.1987252,0.36084825,1.0,0.07239318,-0.12098867,1.8054847,2.1824021,-2.1824021,0.34452522,1.0,0.0007967943668365479,987.4104533195496,480000
2.1802526,-2.1802526,0.34237564,1.0,0.38925162,-0.20150205,4.0537868,2.2095919,-2.2095919,0.37171483,1.0,0.0007924237728118897,991.3725774288177,485000
